Open,Close,Year,Month,Date
89.08000200000001,90.639999,1967,06,06/01/1967
90.639999,94.75,1967,07,07/01/1967
94.75,93.639999,1967,08,08/01/1967
93.639999,96.709999,1967,09,09/01/1967
96.709999,93.300003,1967,10,10/01/1967
93.300003,94.0,1967,11,11/01/1967
94.0,96.470001,1967,12,12/01/1967
96.470001,92.239998,1968,01,01/01/1968
92.239998,89.360001,1968,02,02/01/1968
89.360001,90.199997,1968,03,03/01/1968
91.110001,97.459999,1968,04,04/01/1968
97.459999,98.68,1968,05,05/01/1968
98.720001,99.58000200000001,1968,06,06/01/1968
99.58000200000001,97.739998,1968,07,07/01/1968
97.739998,98.860001,1968,08,08/01/1968
98.860001,102.66999799999999,1968,09,09/01/1968
102.66999799999999,103.410004,1968,10,10/01/1968
103.410004,108.370003,1968,11,11/01/1968
108.370003,103.860001,1968,12,12/01/1968
103.860001,103.010002,1969,01,01/01/1969
103.010002,98.129997,1969,02,02/01/1969
98.129997,101.510002,1969,03,03/01/1969
101.510002,103.690002,1969,04,04/01/1969
103.690002,103.459999,1969,05,05/01/1969
103.459999,97.709999,1969,06,06/01/1969
97.709999,91.83000200000001,1969,07,07/01/1969
91.91999799999999,95.510002,1969,08,08/01/1969
95.510002,93.120003,1969,09,09/01/1969
93.120003,97.120003,1969,10,10/01/1969
97.120003,93.809998,1969,11,11/01/1969
93.809998,92.059998,1969,12,12/01/1969
92.059998,85.019997,1970,01,01/01/1970
85.019997,89.5,1970,02,02/01/1970
89.5,89.629997,1970,03,03/01/1970
89.629997,81.519997,1970,04,04/01/1970
81.519997,76.550003,1970,05,05/01/1970
76.550003,72.720001,1970,06,06/01/1970
72.720001,78.050003,1970,07,07/01/1970
78.050003,81.519997,1970,08,08/01/1970
81.519997,84.300003,1970,09,09/01/1970
84.300003,83.25,1970,10,10/01/1970
83.25,87.199997,1970,11,11/01/1970
87.199997,92.150002,1970,12,12/01/1970
92.150002,95.879997,1971,01,01/01/1971
95.879997,96.75,1971,02,02/01/1971
96.75,100.309998,1971,03,03/01/1971
100.309998,103.949997,1971,04,04/01/1971
103.949997,99.629997,1971,05,05/01/1971
99.629997,98.699997,1971,06,06/01/1971
99.160004,95.58000200000001,1971,07,07/01/1971
95.58000200000001,99.029999,1971,08,08/01/1971
99.029999,98.339996,1971,09,09/01/1971
98.339996,94.230003,1971,10,10/01/1971
94.230003,93.989998,1971,11,11/01/1971
93.989998,102.089996,1971,12,12/01/1971
102.089996,103.940002,1972,01,01/01/1972
103.940002,106.57,1972,02,02/01/1972
106.57,107.199997,1972,03,03/01/1972
107.199997,107.66999799999999,1972,04,04/01/1972
107.66999799999999,109.529999,1972,05,05/01/1972
109.529999,107.139999,1972,06,06/01/1972
107.139999,107.389999,1972,07,07/01/1972
107.389999,111.089996,1972,08,08/01/1972
111.089996,110.550003,1972,09,09/01/1972
110.550003,111.58000200000001,1972,10,10/01/1972
111.58000200000001,116.66999799999999,1972,11,11/01/1972
116.66999799999999,118.050003,1972,12,12/01/1972
118.059998,116.029999,1973,01,01/01/1973
116.029999,111.68,1973,02,02/01/1973
111.68,111.519997,1973,03,03/01/1973
111.519997,106.970001,1973,04,04/01/1973
106.970001,104.949997,1973,05,05/01/1973
104.949997,104.260002,1973,06,06/01/1973
104.099998,108.220001,1973,07,07/01/1973
108.16999799999999,104.25,1973,08,08/01/1973
104.25,108.43,1973,09,09/01/1973
108.43,108.290001,1973,10,10/01/1973
108.290001,95.959999,1973,11,11/01/1973
95.83000200000001,97.550003,1973,12,12/01/1973
97.550003,96.57,1974,01,01/01/1974
96.57,96.220001,1974,02,02/01/1974
96.220001,93.980003,1974,03,03/01/1974
93.980003,90.309998,1974,04,04/01/1974
90.309998,87.279999,1974,05,05/01/1974
87.279999,86.0,1974,06,06/01/1974
86.0,79.309998,1974,07,07/01/1974
79.309998,72.150002,1974,08,08/01/1974
72.150002,63.540001000000004,1974,09,09/01/1974
63.540001000000004,73.900002,1974,10,10/01/1974
73.900002,69.970001,1974,11,11/01/1974
69.800003,68.559998,1974,12,12/01/1974
68.650002,76.980003,1975,01,01/01/1975
76.980003,81.589996,1975,02,02/01/1975
81.589996,83.360001,1975,03,03/01/1975
83.360001,87.300003,1975,04,04/01/1975
87.300003,91.150002,1975,05,05/01/1975
91.32,95.190002,1975,06,06/01/1975
95.190002,88.75,1975,07,07/01/1975
88.75,86.879997,1975,08,08/01/1975
86.879997,83.870003,1975,09,09/01/1975
83.870003,89.040001,1975,10,10/01/1975
89.040001,91.239998,1975,11,11/01/1975
91.239998,90.190002,1975,12,12/01/1975
90.190002,100.860001,1976,01,01/01/1976
100.860001,99.709999,1976,02,02/01/1976
99.709999,102.769997,1976,03,03/01/1976
102.769997,101.639999,1976,04,04/01/1976
101.639999,100.18,1976,05,05/01/1976
100.18,104.279999,1976,06,06/01/1976
104.279999,103.440002,1976,07,07/01/1976
103.440002,102.910004,1976,08,08/01/1976
102.910004,105.239998,1976,09,09/01/1976
105.239998,102.900002,1976,10,10/01/1976
102.900002,102.099998,1976,11,11/01/1976
102.099998,107.459999,1976,12,12/01/1976
107.459999,102.029999,1977,01,01/01/1977
102.029999,99.82,1977,02,02/01/1977
99.82,98.41999799999999,1977,03,03/01/1977
98.41999799999999,98.440002,1977,04,04/01/1977
98.440002,96.120003,1977,05,05/01/1977
96.120003,100.480003,1977,06,06/01/1977
100.480003,98.849998,1977,07,07/01/1977
98.849998,96.769997,1977,08,08/01/1977
96.769997,96.529999,1977,09,09/01/1977
96.529999,92.339996,1977,10,10/01/1977
92.190002,94.83000200000001,1977,11,11/01/1977
94.83000200000001,95.099998,1977,12,12/01/1977
95.099998,89.25,1978,01,01/01/1978
89.25,87.040001,1978,02,02/01/1978
87.040001,89.209999,1978,03,03/01/1978
89.199997,96.83000200000001,1978,04,04/01/1978
96.83000200000001,97.239998,1978,05,05/01/1978
97.239998,95.529999,1978,06,06/01/1978
95.529999,100.68,1978,07,07/01/1978
100.68,103.290001,1978,08,08/01/1978
103.290001,102.540001,1978,09,09/01/1978
102.540001,93.150002,1978,10,10/01/1978
94.129997,94.699997,1978,11,11/01/1978
95.010002,96.110001,1978,12,12/01/1978
96.110001,99.93,1979,01,01/01/1979
99.93,96.279999,1979,02,02/01/1979
96.279999,101.589996,1979,03,03/01/1979
101.559998,101.760002,1979,04,04/01/1979
101.760002,99.08000200000001,1979,05,05/01/1979
99.08000200000001,102.910004,1979,06,06/01/1979
102.910004,103.809998,1979,07,07/01/1979
103.809998,109.32,1979,08,08/01/1979
109.32,109.32,1979,09,09/01/1979
109.190002,101.82,1979,10,10/01/1979
101.82,106.160004,1979,11,11/01/1979
106.160004,107.940002,1979,12,12/01/1979
107.940002,114.160004,1980,01,01/01/1980
114.160004,113.660004,1980,02,02/01/1980
113.660004,102.089996,1980,03,03/01/1980
102.089996,106.290001,1980,04,04/01/1980
106.290001,111.239998,1980,05,05/01/1980
111.239998,114.239998,1980,06,06/01/1980
114.239998,121.66999799999999,1980,07,07/01/1980
121.66999799999999,122.379997,1980,08,08/01/1980
122.379997,125.459999,1980,09,09/01/1980
125.459999,127.470001,1980,10,10/01/1980
127.470001,140.520004,1980,11,11/01/1980
140.520004,135.759995,1980,12,12/01/1980
135.759995,129.550003,1981,01,01/01/1981
129.479996,131.270004,1981,02,02/01/1981
131.270004,136.0,1981,03,03/01/1981
136.0,132.809998,1981,04,04/01/1981
132.809998,132.58999599999999,1981,05,05/01/1981
132.58999599999999,131.21000700000002,1981,06,06/01/1981
