Date,Open,pct_sos,Month,Year,pct_pop,Season,Close
10/01/1971,98.339996,-0.019639139061691457,10,1971,-0.006967615944336258,Oct-May,94.230003
11/01/1971,94.230003,-0.09350643848503426,11,1971,-0.041793707211458475,Nov-Jun,93.989998
12/01/1971,93.989998,-0.05660944665089174,12,1971,-0.00254701254758527,Dec-Jul,102.089996
01/01/1972,102.089996,0.029548123051709396,01,1972,0.08617936134012893,Nov-Apr,103.940002
02/01/1972,103.940002,0.08746599524030141,02,1972,0.018121325031690727,Nov-Apr,106.57
03/01/1972,106.57,0.07613855474238651,03,1972,0.025303039728630905,Nov-Apr,107.199997
04/01/1972,107.199997,0.09009560057334154,04,1972,0.00591157924368968,Apr-Nov,107.66999799999999
05/01/1972,107.66999799999999,0.14262967815038685,05,1972,0.004384337809263172,May-Dec,109.529999
06/01/1972,109.529999,0.16533675210845322,06,1972,0.01727501657425501,Jun-Jan,107.139999
07/01/1972,107.139999,0.04946618863615204,07,1972,-0.02182050599671781,Jul-Feb,107.389999
08/01/1972,107.389999,0.03319219678290941,08,1972,0.002333395578993702,Aug-Mar,111.089996
09/01/1972,111.089996,0.04241339964342683,09,1972,0.03445383214874598,Sep-Apr,110.550003
10/01/1972,110.550003,0.031250056844684515,10,1972,-0.004860860738531314,Oct-May,111.58000200000001
11/01/1972,111.58000200000001,0.0363147030057529,11,1972,0.009317041809578264,Nov-Jun,116.66999799999999
12/01/1972,116.66999799999999,0.06518761129542217,12,1972,0.04561745750820112,Dec-Jul,118.050003
01/01/1973,118.059998,0.10192270955686666,01,1973,0.011913945520081404,Nov-Apr,116.029999
02/01/1973,116.029999,0.08045441922389807,02,1973,-0.017194638610784962,Nov-Apr,111.68
03/01/1973,111.68,0.005311045289802863,03,1973,-0.037490295936312146,Nov-Apr,111.519997
04/01/1973,111.519997,0.00877425575465618,04,1973,-0.0014326916189112415,Apr-Nov,106.970001
05/01/1973,106.970001,-0.04131565618720823,05,1973,-0.0407998217575275,May-Dec,104.949997
06/01/1973,104.949997,-0.10045428302827264,06,1973,-0.018883836413164046,Jun-Jan,104.260002
07/01/1973,104.099998,-0.1182449621928674,07,1973,-0.008099085510216764,Jul-Feb,108.220001
08/01/1973,108.16999799999999,-0.06774111064156785,08,1973,0.039097022845283824,Aug-Mar,104.25
09/01/1973,104.25,-0.06652936962750722,09,1973,-0.036239235208269105,Sep-Apr,108.43
10/01/1973,108.43,-0.027708008277654406,10,1973,0.04009592326139089,Oct-May,108.290001
11/01/1973,108.290001,0.012339908270170064,11,1973,-0.0012911463617080177,Nov-Jun,95.959999
